song,aritst ,Album,Cover art,Year
Have You ,Ann Marie,Tripolar 2,cmu://1012251/42279979/maxresdefault+(1).jpg,2019
Jealous,Beyonce,BEYONCE,cmu://1012251/42279343/ab67616d00001e024ccc03169b086af698178a99.jpeg,2013
Can I ,Tink,Winter Diary,cmu://1012251/42279487/artworks-Mc2XfguqdkvF-0-t500x500.jpg,2012
Cinderella story,A Boogie Wit da Hoodie,Artist  2.0,cmu://1012251/42279814/ab67616d0000b2731072a34d8c8d75e9b2545d8a.jpeg,2020
Miss you so ,Frank Ocean,The Lonny Breaux Collection ,cmu://1012251/42279870/maxresdefault.jpg,2016
So Gone,Monica,Nostaligia ultra,cmu://1012251/42279924/download+(1).jpeg,2003
Unthinkable ,PartyNextDoor,The Elment of freedom,cmu://1012251/42279979/maxresdefault+(1).jpg,2015
Marvin Room ,Drake,Take care,cmu://1012251/42273452/Drake_-_Take_Care_cover.jpg,2011
Your love,Nicki Minaj ,Pinky Friday,cmu://1012251/42280217/sddefault.jpg,1986
When It Rains,Tink,Winter Diary 2 forever yours,cmu://1012251/42273607/https___images.genius.com_a24ca14743820d57f7f84f6721a0ff30.500x500x1.jpg,2014
