Song,Artist,Album,Cover art,Year released
Smooth Criminal,Micheal Jackson,Bad,cmu://879265/42373886/download+(6).jpeg,1987
Thriller,Micheal Jackson,Thriller,cmu://879265/42373931/download+(3).jpeg,1982
You Are Not Alone,Micheal Jackson,History,cmu://879265/42375633/download+(7).jpeg,1995
Billie Jean,Micheal Jackson,Thriller,cmu://879265/42374377/download+(5).jpeg,1982
Bad,Micheal Jackson,Bad,cmu://879265/42375600/download+(2).jpeg,1987
The Way You Make Me Feel,Micheal Jackson,Bad,cmu://879265/42375402/download+(8).jpeg,1987
Dangerous,Micheal Jackson,Dangerous,cmu://879265/42375314/download+(53).jpeg,1991
Black or White,Micheal Jackson,Dangerous,cmu://879265/42375063/download+(1)+(1).jpeg,1991
Beat it,Micheal Jackson,Thriller,cmu://879265/42374087/download+(4).jpeg,1982
Man in The Mirror,Micheal Jackson,Bad,cmu://879265/42375130/download+(9).jpeg,1987
