song,Artist,Album,Cover Art,Year Released
Loose ,Daniel Ceasar,Freudian,cmu://1012234/42273302/download+(1).jpeg,2017
Falling Behind,Laufey,Everything I Know About Love,cmu://1012234/42273225/download.jpeg,2022
Lover Girl,Luafey,A Matter of Time,cmu://1012234/42273336/download+(2).jpeg,2025
Habits,Haley Reinhart,Selfies On  KobaChrome,cmu://1012234/42373147/download+(3).jpeg,2015
I Love You So,The Walters,Songs for Dads,cmu://1012234/42373166/download+(4).jpeg,2014
Something About You,Eyedress,Mulholland Drive,cmu://1012234/42373221/download+(5).jpeg,2021
Pretty Girl,Clairo,The Le Sigh Vol,cmu://1012234/42373270/download+(6).jpeg,2018
Dark Red,Steve Lacy,Steve Lacy's Demo,cmu://1012234/42373300/download+(7).jpeg,2017
The Way Things Go,Beabadoobee,Dirty Hit,cmu://1012234/42373325/download+(8).jpeg,2023
Kiss Of Life,Sade,Love Deluxe,cmu://1012234/42373375/download+(9).jpeg,1992
